ServicePlanId,ServicePlanName,ServicePlanDisplayName
03acaee3-9492-4f40-aed4-bcb6b32981b6,NBENTERPRISE,Retired - Microsoft Social Engagement
041fe683-03e4-45b6-b1af-c0cdc516daee,POWER_VIRTUAL_AGENTS_O365_P2,Power Virtual Agents for Office 365
0504111f-feb8-4a3c-992a-70280f9a2869,TEAMSPRO_MGMT,Microsoft Teams Premium Intelligent
0683001c-0492-4d59-9515-d9a6426b5813,POWER_VIRTUAL_AGENTS_O365_P1,Power Virtual Agents for Office 365
094e7854-93fc-4d55-b2c0-3ab5369ebdc1,OFFICE_BUSINESS,OFFICE 365 BUSINESS
0a05d977-a21a-45b2-91ce-61c240dbafa2,PROJECT_FOR_PROJECT_OPERATIONS,Project for Project Operations
0aedf20c-091d-420b-aadf-30c042609612,M365_COPILOT_SHAREPOINT,
0b03f40b-c404-40c3-8651-2aceb74365fa,POWERAPPS_DYN_P2,Power Apps for Dynamics 365
0b2c029c-dca0-454a-a336-887285d6ef07,GUIDES,Dynamics 365 Guides
0d0c0d31-fae7-41f2-b909-eaf4d7f26dba,Bing_Chat_Enterprise,Commercial data protection for Microsoft Copilot
0f9b09cb-62d1-4ff4-9129-43f4996f83f4,FLOW_O365_P1,FLOW FOR OFFICE 365
0feaeb32-d00e-4d66-bd5a-43b5b83db82c,MCOSTANDARD,Skype for Business Online (Plan 2)
113feb6c-3fe4-4440-bddc-54d774bf0318,EXCHANGE_S_FOUNDATION,Exchange Foundation
1315ade1-0410-450d-b8e3-8050e6da320f,DYN365_CDS_GUIDES,Common Data Service
1412cdc1-d593-4ad1-9050-40c30ad0b023,D365_CSI_EMBED_CE,Dynamics 365 Customer Service Insights for CE Plan
14f8dac2-0784-4daa-9cb2-6d670b088d64,POWERAPPS_PER_APP_NEW,Power Apps per app
159f4cd6-e380-449f-a816-af1a9ef76344,FORMS_PLAN_E1,MICROSOFT FORMS (PLAN E1)
176a09a6-7ec5-4039-ac02-b2791c6ba793,EXCHANGE_S_ARCHIVE_ADDON,EXCHANGE ONLINE ARCHIVING FOR EXCHANGE ONLINE
17ab22cd-a0b3-4536-910a-cb6eb12696c0,DYN365_CDS_VIRAL,Common Data Service
18fa3aba-b085-4105-87d7-55617b8585e6,D365_ProjectOperationsCDS,Dynamics 365 Project Operations CDS
199a5c09-e0ca-4e37-8f7c-b05d533e1ea2,MICROSOFTBOOKINGS,Microsoft Bookings
1fe6227d-3e01-46d0-9510-0acad4ff6e94,PLACES_CORE,
2049e525-b859-401b-b2a0-e0a31c4b1fe4,BI_AZURE_P0,Power BI (free)
21b439ba-a0ca-424f-a6cc-52f954a5b111,WIN10_PRO_ENT_SUB,Windows 10/11 Enterprise (Original)
276d6e8a-f056-4f70-b7e8-4fc27f79f809,OFFICE_SHARED_COMPUTER_ACTIVATION,Office Shared Computer Activation
2789c901-c14e-48ab-a76a-be334d9d793a,FORMS_PLAN_E3,Microsoft Forms (Plan E3)
28b0fa46-c39a-4188-89e2-58e979a6b014,DYN365_CDS_O365_P3,Common Data Service
292cc034-7b7c-4950-aaf5-943befd3f1d4,MDE_LITE,Microsoft Defender for Endpoint Plan 1
2b815d45-56e4-4e3a-b65c-66cb9175b560,ContentExplorer_Standard,Information Protection and Governance Analytics ? Standard
2bdbaf8f-738f-4ac7-9234-3c3ee2ce7d0f,VISIOONLINE,Visio web app
31b4e2fc-4cd6-4e7d-9c1b-41407303bd66,PROJECT_O365_P2,Project for Office (Plan E3)
31cf2cfc-6b0d-4adc-a336-88b724ed8122,RMS_S_BASIC,Microsoft Azure Rights Management Service
33c4f319-9bdd-48d6-9c4d-410b750a4a5a,MYANALYTICS_P2,Insights by MyAnalytics
375cd0ad-c407-49fd-866a-0bff4f8a9a4d,POWER_AUTOMATE_ATTENDED_RPA,Power Automate RPA Attended
39b5c996-467e-4e60-bd62-46066f572726,DYN365BC_MS_INVOICING,Microsoft Invoicing
3c53ea51-d578-46fa-a4c0-fd0a92809a60,STREAM_O365_SMB,Stream for Office 365
3da2fd4c-1bee-4b61-a17f-94c31e5cab93,CDS_ATTENDED_RPA,Common Data Service Attended RPA
3efbd4ed-8958-4824-8389-1321f8730af8,MESH_AVATARS_ADDITIONAL_FOR_TEAMS,Avatars for Teams (additional)
3f30311c-6b1e-48a4-ab79-725b469da960,M365_COPILOT_BUSINESS_CHAT,Microsoft Copilot with Graph-grounded chat
40b010bb-0b69-4654-ac5e-ba161433f4b4,DYN365_CDS_O365_P1,Common Data Service
41781fb2-bc02-4b7c-bd55-b576c07bb09d,AAD_PREMIUM,Microsoft Entra ID P1
43de0ff5-c92c-492b-9116-175376d08c38,OFFICESUBSCRIPTION,Microsoft 365 Apps for enterprise
4828c8ec-dc2e-4779-b502-87ac9ce28ab7,MCOEV,Microsoft 365 Phone System
4ed3ff63-69d7-4fb7-b984-5aec7f605ca8,MCOPSTN1,Microsoft 365 Domestic Calling Plan
4f4c7800-298a-4e22-8867-96b17850d4dd,MICROSOFT_REMOTE_ASSIST,Dynamics 365 Remote Assist
4ff01e01-1ba7-4d71-8cf8-ce96c3bbcf14,DYN365_CDS_O365_P2,Common Data Service
50554c47-71d9-49fd-bc54-42a2765c555c,DYN365_CDS_PROJECT,Common Data Service for Project
505e180f-f7e0-4b65-91d4-00d670bbd18c,MCOPSTNC,COMMUNICATIONS CREDITS
50e68c76-46c6-4674-81f9-75456511b170,FLOW_P2_VIRAL,Flow Free
5136a095-5cf0-4aff-bec3-e84448b38ea5,MIP_S_CLP1,Information Protection for Office 365 - Standard
54fc630f-5a40-48ee-8965-af0503c1386e,KAIZALA_O365_P2,Microsoft Kaizala Pro
57ff2da0-773e-42df-b2af-ffb7a2317929,TEAMS1,Microsoft Teams
5bfe124c-bbdc-4494-8835-f1297d457d79,O365_SB_Relationship_Management,RETIRED - Outlook Customer Manager
5d7a2e9a-4ee5-4f1c-bc9f-abc481bf39d8,CDSAICAPACITY_PERAPP,AI Builder capacity Per App add-on
5dbe027f-2339-4123-9542-606e4d348a72,SHAREPOINTENTERPRISE,SharePoint (Plan 2)
5e62787c-c316-451f-b873-1d05acd4d12c,BPOS_S_TODO_1,To-Do (Plan 1)
60bf28f9-2b70-4522-96f7-335f5e06c941,Power_Pages_Internal_User,Power Pages Internal User
